Sport	State	CaptureDevice	Lat	Lon	DateTaken
running	Virginia	canon	37.522274	-77.404638	1393776798000
cycling	DistrictofColumbia	nikon	38.913752	-76.972273	1352042110000
cycling	Florida	other	30.173253	-85.800905	1289039018000
baseball	Florida	nikon	27.971283	-82.731664	1267975565000
baseball	Washington	sony	47.671149	-122.192296	1302363644000
baseball	Michigan	nikon	42.341853	-85.150501	1148408446000
football	Florida	canon	28.833055	-82.34	1288433492000
baseball	Arkansas	nikon	35.308672	-93.920831	1316683852000
baseball	NewYork	canon	43.262964	-79.063925	1346529355000
running	NewYork	other	40.70601	-74.0131	1328617827000
baseball	Arizona	nikon	33.513035	-111.884513	1226232788000
basketball	Georgia	canon	33.780913	-84.392745	1168455947000
basketball	Michigan	canon	42.261398	-83.752899	1196802887000
basketball	Michigan	other	42.269399	-83.7419	1202577830000
football	Arkansas	canon	34.812147	-92.465429	1316718712000
baseball	Illinois	canon	41.999049	-87.710219	1185640694000
running	DistrictofColumbia	canon	38.898765	-77.036604	1343141891000
baseball	Ohio	nikon	40.690596	-82.635812	1369995093000
cycling	Maryland	other	39.258176	-76.5172	1057238068000
hockey	Illinois	canon	39.824655	-89.652514	1352668111000
baseball	California	canon	33.808066	-117.876627	1394230931000
football	California	canon	34.069467	-118.447455	1249926129000
running	California	canon	33.996604	-118.327788	1335539220000
baseball	Wisconsin	canon	43.801502	-87.994887	1309018504000
football	Georgia	canon	32.628191	-83.62922	1190219426000
soccer	California	nikon	37.435016	-122.160705	1309564842000
hockey	Pennsylvania	nikon	40.286556	-76.669131	1192918181000
baseball	Michigan	nikon	42.734942	-84.545706	1116272664000
basketball	Alaska	sony	60.316068	-143.684692	1245238250000
golf	California	panasonic	34.044411	-118.565406	1388402360000
football	NorthCarolina	nikon	36.133161	-80.2568	1193488158000
running	California	canon	37.776998	-122.437005	1315749754000
baseball	Arkansas	other	35.773914	-91.626877	1333462498000
baseball	Illinois	nikon	41.978937	-87.860391	1362230831000
baseball	California	canon	33.724201	-116.305702	1331464891000
baseball	Arkansas	other	35.774119	-91.626459	1366648171000
basketball	Iowa	other	41.663597	-91.554631	1389382242000
baseball	Texas	other	27.774126	-97.391266	1287329679000
cycling	Iowa	nikon	41.622901	-91.546368	1322315018000
basketball	Arkansas	nikon	35.688794	-93.577541	1360266254000
basketball	NewYork	canon	40.750674	-73.993531	1258729433000
lacrosse	Virginia	nikon	38.866916	-77.047064	1331741961000
hockey	Virginia	canon	37.279747	-79.936094	1221941331000
basketball	NorthCarolina	nikon	35.218977	-80.829205	1276366474000
soccer	Minnesota	nikon	45.966991	-94.854669	1193331778000
football	California	nikon	37.434333	-122.161167	1385830872000
basketball	Arkansas	nikon	35.3082	-93.917344	1357667708000
baseball	SouthCarolina	nikon	34.305389	-79.992546	1378046195000
basketball	Arkansas	other	35.776195	-91.625332	1321380229000
golf	California	canon	33.927248	-118.097491	1264348394000
soccer	NorthCarolina	apple	35.767666	-78.8175	1300532925000
cycling	NewYork	canon	40.754173	-73.984385	1278863760000
golf	Oregon	other	42.614009	-124.396981	1186935754000
football	Ohio	nikon	41.695734	-81.331468	1378494926000
cycling	Illinois	canon	42.188759	-87.851561	1251540328000
